TC ID,대분류,중분류,화면/기능,전제조건,테스트 데이터,수행 절차,기대 결과,실제 결과,상태,우선순위,테스트 유형,자동화,담당자,메모,비고
TC-S-ING-09,슈퍼어드민 · 성분 관리,성분 삭제,상세 · 성분 삭제(soft delete),성분 상세 진입,-,1) [성분 삭제]  2) 확인,"확인 후 soft delete 되어 전 서비스 미노출, 원천 데이터·삭제 이력은 보존된다",,Not Yet,P0,Branch,N,,,
TC-S-ING-10,슈퍼어드민 · 성분 관리,수정 이력,상세 · 수정 이력,성분명/이유/근거/연결 변경,-,1) 변경·저장 후 수정 이력 확인,수정일시·수정 항목·변경 전/후·수정자가 기록된다,,Not Yet,P1,Positive,N,,,
TC-PH-01,약사 어드민웹 · 추천 상품 설정,목록 조회,AI mate 추천 상품 목록,약국 계정 로그인,-,1) [AI mate 추천 상품] 메뉴 진입,부족 영양소·관련 카테고리·관련 성분 수·우리약국/굿팜 추천 상품·AI mate 노출 상태·최종 수정 컬럼의 목록이 표시된다,,Not Yet,P1,Positive,N,,,
TC-PH-02,약사 어드민웹 · 추천 상품 설정,노출 상태 표시,목록 · 노출 상태 배지,ON/OFF 영양소 각 1건,-,1) 목록의 노출 상태 컬럼 확인,"ON은 'AI mate 노출'(그린), OFF는 'AI mate 노출 중지'(옐로)로 표시되고 OFF도 목록에 노출된다",,Not Yet,P1,Branch,N,,,
TC-PH-03,약사 어드민웹 · 추천 상품 설정,상세 진입,목록 행 클릭,영양소 1건 이상,코엔자임Q10,1) 목록 행 클릭,추천 상품 설정 상세 페이지로 전환된다,,Not Yet,P1,Positive,N,,,
TC-PH-04,약사 어드민웹 · 추천 상품 설정,우리약국 추천 등록,상세 · 우리약국 추천 상품(최대 3),상세 진입,마스터 상품,1) 목록 하단 [+ 우리약국 추천 상품 추가]  2) 검색 모달에서 상품 선택,우리약국 추천 상품이 최대 3개까지 등록된다,,Not Yet,P0,Positive,N,,,
TC-PH-05,약사 어드민웹 · 추천 상품 설정,우리약국 순서/삭제,상세 · 순서 변경·삭제,우리약국 추천 2건 이상,-,1) 순서 위/아래 조정  2) 임의 항목 [삭제],순서 변경·삭제가 반영된다,,Not Yet,P1,Positive,N,,,
TC-PH-06,약사 어드민웹 · 추천 상품 설정,우리약국 최대 초과,우리약국 추천 4개째,우리약국 추천 3건 등록됨,4번째 상품,1) 4번째 상품 추가 시도,최대 3개 도달 안내가 표시되고 추가되지 않는다,,Not Yet,P1,Negative,N,,,
TC-PH-07,약사 어드민웹 · 추천 상품 설정,굿팜 추천 조회 전용,상세 · 굿팜 추천 상품,상세 진입,-,1) 굿팜 추천 상품 영역 확인,굿팜 추천 상품은 조회만 가능하며 약국에서 수정/삭제할 수 없다,,Not Yet,P1,Compliance,N,,,
TC-PH-08,약사 어드민웹 · 추천 상품 설정,상품 검색 모달,굿팜 마스터 상품 검색,[추가] 클릭,상품명,1) 검색 모달에서 상품명 입력·검색  2) 결과 선택,굿팜 마스터 상품 DB에서 상품명으로 검색되고 결과가 상품명(+제조사)로 표기된다,,Not Yet,P1,Positive,Partial,,,
TC-PH-09,약사 어드민웹 · 추천 상품 설정,검색 예외 안내,검색 모달 · 결과 없음/중복/최대,검색 모달 오픈,없는 상품명 등,1) 결과 없는 검색  2) 이미 등록된 상품 재선택  3) 최대 도달 상태 선택,결과 없음·중복·최대 도달 안내가 각각 표시된다,,Not Yet,P2,Negative,N,,,
TC-PH-10,약사 어드민웹 · 추천 상품 설정,관련 성분 조회,상세 · 관련 성분(조회 전용),상세 진입,성분명,1) 관련 성분 영역 확인·검색,성분명·제형·부족해지는 이유·근거의 성분코드 단위 리스트가 총 개수·성분명 검색·페이지네이션과 함께 조회 전용으로 표시된다,,Not Yet,P1,Positive,N,,,
TC-PH-11,약사 어드민웹 · 추천 상품 설정,저장,상세 · [저장하기],설정 변경,-,1) 설정 변경 후 우측 하단 [저장하기],설정값이 저장되고 AI MATE 화면 노출에 반영된다,,Not Yet,P0,Positive,N,,,
TC-PH-12,약사 어드민웹 · 추천 상품 설정,OFF 상태 편집 허용,상세 · 노출 중지 상태,노출 OFF 영양소,우리약국 상품,1) OFF 상태 상세에서 등록·수정·삭제·정렬·저장,"상단 안내 배너가 노출되며, OFF 상태에서도 사전 편집·저장이 모두 가능하다",,Not Yet,P0,Branch,N,,,
TC-PH-13,약사 어드민웹 · 추천 상품 설정,OFF 저장값 재개,상세 · 저장값 유지,OFF 상태에서 상품 저장,-,1) OFF 상태에서 상품 저장  2) 노출 ON 재개,OFF 상태에서 저장한 상품이 노출 재개 시 그대로 사용된다,,Not Yet,P0,Branch,N,,,
TC-AIM-01,AI MATE 화면 · 드럭머거 & 추천제품,추천 영역 노출,처방 상세 분석,처방 접수·성분코드 매칭 데이터,B12 유발 처방약,1) 처방 상세 분석 진입,처방 약물표 하단에 드럭머거 & 추천제품 영역이 자동 노출된다,,Not Yet,P0,Positive,N,,,
TC-AIM-02,AI MATE 화면 · 드럭머거 & 추천제품,성분코드 매칭,매칭 로직,DIND 매칭 데이터,성분코드 전체 일치 처방약,1) 처방약 성분코드와 DIND 상세 성분코드 매칭 확인,성분코드가 전체 일치하는 경우에만 해당 부족 영양소가 노출된다(성분명 같아도 코드 다르면 미노출),,Not Yet,P0,Branch,N,,,
TC-AIM-03,AI MATE 화면 · 드럭머거 & 추천제품,2열 블록 구성,추천 블록,추천 영역 노출,-,1) 부족 영양소 블록 확인,좌측(영양소명·관련 카테고리·부족해지는 근거·참고문헌ⓘ) / 우측(우리약국 추천 | 굿팜 추천) 2열로 표시된다,,Not Yet,P1,Positive,N,,,
TC-AIM-04,AI MATE 화면 · 드럭머거 & 추천제품,우선순위 노출,우리약국 우선,우리약국·굿팜 추천 모두 존재,-,1) 우측 추천 상품 순서 확인,우리약국 추천 상품이 굿팜 추천 상품보다 먼저(우선) 표시된다,,Not Yet,P0,Compliance,N,,,
TC-AIM-05,AI MATE 화면 · 드럭머거 & 추천제품,노출 조건,블록 노출 조건,영양소별 추천 상품 유무 상이,-,1) 우리약국/굿팜 중 하나라도 있는 영양소 확인,추천 상품이 하나라도 있는 부족 영양소만 블록이 노출된다,,Not Yet,P0,Branch,N,,,
TC-AIM-06,AI MATE 화면 · 드럭머거 & 추천제품,둘 다 없음,블록 미노출,우리약국·굿팜 모두 없음,-,1) 추천 상품 없는 영양소 확인,블록과 '추천 상품 없음' 문구 모두 미노출된다,,Not Yet,P1,Branch,N,,,
TC-AIM-07,AI MATE 화면 · 드럭머거 & 추천제품,결측 · 이유 없음,블록 노출/생략,추천 상품 있고 이유 없음,-,1) 이유 없는 영양소(상품 있음) 확인,블록은 노출되고 부족해지는 근거 문구만 생략된다,,Not Yet,P1,Branch,N,,,
TC-AIM-08,AI MATE 화면 · 드럭머거 & 추천제품,결측 · 근거/카테고리,ⓘ·배지 생략,참고문헌/카테고리 없음,-,1) 참고문헌 없는 항목  2) 카테고리 없는 항목 확인,"참고문헌 없으면 ⓘ 생략, 카테고리 없으면 배지 생략된다",,Not Yet,P2,Branch,N,,,
TC-AIM-09,AI MATE 화면 · 드럭머거 & 추천제품,긴 상품명,상품 카드 말줄임,긴 상품명 데이터,장문 상품명,1) 긴 상품명 카드 확인·hover,2줄 말줄임 + hover 시 전체명 tooltip이 표시된다,,Not Yet,P2,Positive,N,,,
TC-AIM-10,AI MATE 화면 · 드럭머거 & 추천제품,우선순위 번호,우리약국 다수,우리약국 추천 2건 이상,-,1) 우리약국 추천 2개 이상 확인,우선순위 번호(1·2·3)가 표시된다,,Not Yet,P2,Positive,N,,,
TC-AIM-11,AI MATE 화면 · 드럭머거 & 추천제품,5개 초과,+N개 더보기,추천 상품 6건 이상,-,1) 추천 상품 6개 이상 영양소 확인,상위 5개 노출 + [+N개 더보기]가 표시된다,,Not Yet,P1,Branch,N,,,
TC-AIM-12,AI MATE 화면 · 드럭머거 & 추천제품,우리약국 미등록 CTA,등록 CTA,우리약국 미등록·굿팜 있음,-,1) 우리약국 미등록 영양소 확인,우측에 [+ 추천 상품 등록] CTA(약사웹 이동)가 표시된다,,Not Yet,P1,Branch,N,,,
TC-AIM-13,AI MATE 화면 · 드럭머거 & 추천제품,Master OFF 미노출,노출 OFF 반영,슈퍼어드민 노출 OFF 영양소,-,1) OFF 영양소가 포함된 처방 확인,노출 OFF 영양소는 AI MATE 화면에 미노출된다,,Not Yet,P0,Branch,N,,,
TC-AIM-14,AI MATE 화면 · 드럭머거 & 추천제품,추천 API 실패,오류·재시도,추천 API 오류 상황,-,1) 추천 조회 실패 유발,'추천 정보를 불러오지 못했습니다.' 안내와 재시도 버튼이 표시된다(이때만 오류),,Not Yet,P1,Negative,N,,,
TC-AIM-15,AI MATE 화면 · 드럭머거 & 추천제품,다약제 화면,10개 이상 처방,처방 약물 10개 이상,다약제 처방,1) 처방 약물 10개 이상 처방 상세 확인,화면 길이(접기/더보기) 정책 확정 필요 — 결과 기준 확인 후 판정,,Not Yet,P2,Branch,N,,,
TC-INT-01,통합 연동(플랫폼 간),영양소 등록→노출 반영,슈퍼→약사→AI MATE 화면,3개 플랫폼 접근 권한,신규 영양소,1) 슈퍼어드민에서 영양소 추가(OFF 생성)  2) 검토 후 노출 ON  3) 약사웹 목록·AI MATE 화면 확인,노출 ON 후 약사웹 목록에 노출되고 AI MATE 화면 추천 영역에 표시된다,,Not Yet,P0,Branch,N,,,
TC-INT-02,통합 연동(플랫폼 간),굿팜 추천→AI MATE 화면,슈퍼→AI MATE 화면,영양소 노출 ON,굿팜 마스터 상품,1) 슈퍼어드민에서 굿팜 추천 상품 등록  2) AI MATE 화면 확인,AI MATE 화면 굿팜 추천 컬럼에 등록 상품이 반영된다,,Not Yet,P0,Branch,N,,,
TC-INT-03,통합 연동(플랫폼 간),우리약국 추천→AI MATE 화면,약사→AI MATE 화면,영양소 노출 ON,우리약국 상품,1) 약사웹에서 우리약국 추천 상품 등록·저장  2) AI MATE 화면 확인,AI MATE 화면에서 우리약국 추천이 굿팜보다 우선 노출된다,,Not Yet,P0,Branch,N,,,
TC-INT-04,통합 연동(플랫폼 간),노출 OFF→약사/AI MATE 화면,슈퍼→약사/AI MATE 화면,노출 ON 영양소,-,1) 슈퍼어드민에서 노출 OFF  2) 약사웹 목록·AI MATE 화면 확인,"약사웹은 '노출 중지'로 표시(편집 가능), AI MATE 화면은 미노출된다",,Not Yet,P0,Branch,N,,,
TC-INT-05,통합 연동(플랫폼 간),OFF 편집→재개 반영,약사→ON→AI MATE 화면,노출 OFF 영양소,우리약국 상품,1) OFF 상태에서 약사웹 상품 등록·저장  2) 슈퍼어드민 노출 ON  3) AI MATE 화면 확인,OFF 중 저장한 상품이 노출 재개 시 AI MATE 화면에 그대로 노출된다,,Not Yet,P0,Branch,N,,,
TC-INT-06,통합 연동(플랫폼 간),성분 삭제→전 서비스,슈퍼→전 서비스,연결된 성분 존재,삭제 대상 성분,1) 슈퍼어드민 성분 삭제  2) 슈퍼/약사웹/AI MATE 화면 확인,삭제한 성분과 연결된 추천 정보·이유·근거가 슈퍼/약사웹/AI MATE 화면 전 서비스에서 미노출되고 원천·이력은 보존된다,,Not Yet,P0,Branch,N,,,
TC-INT-07,통합 연동(플랫폼 간),성분명 수정→전 화면,슈퍼→전 화면,연결된 성분 존재,성분명 변경값,1) 슈퍼어드민에서 성분명 공통값 수정  2) 슈퍼/약사웹/AI MATE 화면 확인,변경된 성분명이 전 화면에 공통 반영된다,,Not Yet,P0,Branch,N,,,
TC-INT-08,통합 연동(플랫폼 간),이유·근거 수정→AI MATE 화면,슈퍼→AI MATE 화면,연결 (성분×영양소) 존재,이유/근거 변경값,1) 슈퍼어드민에서 이유·근거 수정  2) AI MATE 화면 근거 확인,AI MATE 화면의 부족해지는 근거 문구에 수정 내용이 반영된다,,Not Yet,P1,Branch,N,,,
TC-INT-09,통합 연동(플랫폼 간),영양소 삭제→전 서비스,슈퍼→전 서비스,노출 OFF 영양소,삭제 대상 영양소,1) 슈퍼어드민 영양소 soft delete  2) 슈퍼/약사웹/AI MATE 화면 확인,삭제 영양소가 전 서비스에서 미노출되고 이력은 보존된다,,Not Yet,P0,Branch,N,,,
TC-INT-10,통합 연동(플랫폼 간),관련 성분 정합성,약사↔슈퍼,동일 영양소 데이터,-,1) 약사웹 관련 성분과 슈퍼어드민 관련 성분 목록 비교,동일 영양소의 관련 성분 리스트(성분·제형·이유·근거)가 두 화면에서 일치한다,,Not Yet,P1,Regression,N,,,
TC-POL-01,정책·권한·문구,상담 참고 표현,전 플랫폼 문구,-,-,1) AI MATE 화면/약사웹/슈퍼어드민 노출 문구 확인,치료·예방을 단정하는 표현 없이 상담 참고 표현이 유지된다,,Not Yet,P1,Compliance,N,,,
TC-POL-02,정책·권한·문구,굿팜 추천 수정 권한,약사웹 권한,약국 계정,-,1) 약국 계정으로 굿팜 추천 상품 수정 시도,약국은 굿팜 추천 상품을 수정할 수 없다(운영자 전용),,Not Yet,P1,Compliance,N,,,
TC-POL-03,정책·권한·문구,OFF vs 삭제 구분,정책 구분,-,-,1) 일시 제외/영구 제외 시나리오 확인,"일시 제외는 노출 OFF, 영구 제외는 soft delete(원천·이력 보존)로 구분 동작한다",,Not Yet,P1,Compliance,N,,,
TC-POL-04,정책·권한·문구,검색 키 정책,약사웹 상품 검색,검색 모달,바코드/상품명,1) 상품 검색 키 확인,상품 검색은 상품명 기준이며 바코드는 사용하지 않는다,,Not Yet,P2,Compliance,N,,,
TC-POL-05,정책·권한·문구,결측 문구 일관성,전 플랫폼 문구,결측 데이터,-,1) 데이터 없음/미노출 안내 문구 확인,'데이터 없음' 등 결측·미노출 안내 문구가 화면 간 일관되게 표기된다,,Not Yet,P2,Compliance,N,,,
